id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the SLA for ticket P1, including the initial response time of 15 minutes and the resolution time of 4 hours. There is no additional information included that is not present in the context.",5,"The answer directly addresses the query by providing specific information about the SLA for handling P1 tickets, including both the response time and the resolution time.",5,Retrieved: 1/1 expected sources,5,"The model answer accurately covers all key points mentioned in the reference, including the initial response time of 15 minutes and the resolution time of 4 hours for ticket P1.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, which is within 7 working days from the order confirmation. It does not include any information that is not present in the context.",5,"The answer directly addresses the query by specifying the time frame (7 days) within which customers can request a refund, making it highly relevant and informative.",5,Retrieved: 1/1 expected sources,5,"The model answer fully covers all key points mentioned in the reference, including the time frame for requesting a refund and the condition of order confirmation.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the approval requirements for Level 3 access as stated in the context, which specifies that approval is needed from the Line Manager, IT Admin, and IT Security. There is no additional information included that is not present in the context.",5,"The answer directly addresses the query by specifying the individuals who need to approve the granting of Level 3 access, which is exactly what the query is asking for.",5,Retrieved: 1/1 expected sources,5,"The model answer accurately covers all key points mentioned in the reference, including the requirement for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds, but it inaccurately implies that they can be refunded if there is a manufacturer defect, which is not explicitly stated in the context. The context mentions that refunds for digital products are not allowed, and it does not clarify any exceptions for manufacturer defects. Therefore, while the answer captures part of the context, it introduces information that is not clearly supported by the provided details.",5,"The answer directly addresses the query by stating that digital products are generally non-refundable, with exceptions for manufacturer errors, which provides clear and relevant information.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions that digital products are non-refundable, which aligns with the reference. However, it introduces an exception for manufacturer errors and other conditions, which is not mentioned in the reference. Therefore, it does not fully cover the key points of the reference answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding the account being locked after 5 consecutive failed login attempts and the methods to unlock it. There is no additional information included that is not present in the context.,5,The answer directly addresses the query by specifying that an account is locked after 5 consecutive failed login attempts and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points mentioned in the reference, including the condition for the account being locked and the steps to unlock it.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Ngoài ra, trong quá trình xử lý, nếu engineer cần hỗ trợ thêm, họ có thể escalate ngay lập tức [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the context, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes and the ability for engineers to escalate immediately if they need additional support. All information is present in the context.",5,"The answer directly addresses the query by explaining the escalation process for a P1 incident, including the time frame for automatic escalation and the option for engineers to escalate for additional support.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points mentioned in the reference, including the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes. It also adds relevant information about engineers being able to escalate immediately if they need additional support, which enhances the completeness of the response.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,"The answer correctly references the previous name of the document as stated in the context, but it does not provide any additional information about the access control process or the steps involved, which limits its completeness.",4,"The answer provides relevant information by identifying the Approval Matrix for system access and mentioning its previous name, which directly relates to the query. However, it could be improved by providing more context or details about the document itself.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions the previous name of the document and its purpose, but it does not include the new name ""Access Control SOP"" or the file name ""access-control-sop.md,"" which are key points in the reference.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days allowed and the requirement for approval from the Team Lead through the HR Portal.",5,"The answer directly addresses the query by specifying the maximum number of remote work days allowed per week and includes relevant conditions regarding approval, which is pertinent information for the employee.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points mentioned in the reference, including the maximum number of remote days (2 days/week), the condition of completing the probation period, and the requirement for approval from the Team Lead.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để truy cập tài nguyên. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, như tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"The answer provides relevant information about the ERR-403-AUTH error and its relation to access rights, which aligns with the context of the access request process. However, it could be more explicit in connecting the error to the specific steps outlined in the context, such as mentioning the need to create an Access Request ticket directly. Overall, the answer is mostly grounded but lacks some direct references to the context.",5,"The answer directly addresses the query by explaining what ERR-403-AUTH is and providing a clear method for resolving the issue, including specific steps to take.",,No expected sources,3,"The model answer provides some relevant information about ERR-403-AUTH being related to access rights and suggests a way to handle it by creating an Access Request ticket. However, it does not mention the lack of information in the existing documentation or the suggestion to contact the IT Helpdesk, which are key points in the reference answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh về việc quy trình hoàn tiền cho khách hàng VIP có khác biệt so với quy trình thông thường. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Abstained correctly,2,"The answer acknowledges the lack of specific information regarding the difference in the refund process for VIP customers compared to regular customers, but it does not provide any useful insights or guidance related to the query.",5,Retrieved: 1/1 expected sources,1,Abstained on a question that has an answer,baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the context regarding the SLA for ticket P1, which states that the resolution time is indeed 4 hours. There is no additional information included that is not present in the context.",5,"The answer directly addresses the query by providing the specific SLA time for processing a P1 ticket, which is exactly what was asked.",5,Retrieved: 1/1 expected sources,2,"The model answer only mentions the resolution time of 4 hours and omits the initial response time of 15 minutes, which is a key point in the reference.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, which is within 7 working days from the order confirmation. It does not include any information that is not present in the context.",5,"The answer directly addresses the query by specifying the time frame (7 days) within which customers can request a refund, making it highly relevant and informative.",5,Retrieved: 1/1 expected sources,5,"The model answer fully covers all key points mentioned in the reference, including the time frame for requesting a refund and the condition of order confirmation.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the information provided in the context regarding the approval process for Level 3 access, which requires the approval of the Line Manager, IT Admin, and IT Security.",5,"The answer directly addresses the query by specifying the individuals who need to approve the granting of Level 3 access, which is exactly what the query is asking for.",5,Retrieved: 1/1 expected sources,5,"The model answer accurately covers all key points mentioned in the reference, including the requirement for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are generally not eligible for refunds, but it inaccurately implies that they can be refunded if there is a manufacturer's defect without clearly stating the specific conditions that must be met. The context specifies that refunds for digital products are exceptions and does not explicitly mention that they can be refunded under any circumstances.",5,"The answer directly addresses the query by stating that digital products are generally non-refundable, with exceptions for manufacturer errors, which provides clear and relevant information.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions that digital products are non-refundable, which aligns with the reference. However, it introduces an exception for manufacturer errors and other conditions, which is not mentioned in the reference. Therefore, it does not fully cover the key points of the reference answer.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding the number of failed login attempts that lead to an account being locked and the methods for unlocking it. There is no additional information included that is not present in the context.,5,The answer directly addresses the query by specifying that an account is locked after 5 consecutive failed login attempts and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points mentioned in the reference, including the condition for the account being locked and the methods to unlock it.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,4,"The answer accurately summarizes the escalation process for P1 incidents as described in the context, including the initial response time, escalation to a Senior Engineer, and the role of the Lead Engineer. However, it omits the specific timeframes for resolution and notification to stakeholders, which are also important aspects of the escalation process. This omission slightly affects the completeness of the answer.",5,"The answer provides a clear and detailed explanation of the escalation process for a P1 incident, directly addressing the query about how escalation occurs in such situations.",5,Retrieved: 1/1 expected sources,4,"The model answer covers the key point about the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes. However, it includes additional steps in the escalation process that are not mentioned in the reference, which may lead to a slight deviation from the expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,"The answer correctly references the previous name of the document as stated in the context, but it does not provide any additional information about the access control process or the steps involved, which limits its completeness.",4,"The answer provides relevant information by identifying the Approval Matrix for system access and mentioning its previous name, which directly relates to the query about what the document is. However, it could be improved by providing more context or details about the document itself.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions the previous name of the document but does not include the new name ""Access Control SOP"" or the file name ""access-control-sop.md,"" which are key points in the reference.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding the remote work policy, specifically stating that employees can work remotely a maximum of 2 days per week.",5,The answer directly addresses the query by providing a specific number of days (2 days) that employees are allowed to work remotely each week.,5,Retrieved: 1/1 expected sources,3,"The model answer mentions the maximum number of remote days allowed per week but omits the condition that it requires approval from the Team Lead, which is a key point in the reference.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Abstained correctly,1,"The answer does not provide any information about the ERR-403-AUTH error or how to handle it, failing to address the query.",,No expected sources,1,Abstained on a question that has an answer,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Abstained correctly,2,"The answer acknowledges the lack of information regarding the specific process for urgent refunds for VIP customers, but it does not provide any relevant details or guidance related to the query.",5,Retrieved: 1/1 expected sources,1,Abstained on a question that has an answer,variant_hybrid_rerank
